"","artist","song","song_parts","key","bpm","chords","link"
"433","Yes","Heart of the Sunrise","Chorus","Emin","128","em-am-A-G-Dsus4-D","http://www.hooktheory.com/theorytab/view/yes/heart-of-the-sunrise"
"434","Built By Titan","Heart And Soul","Pre-Chorus","Amaj","129","E-f#m-D-A-E-f#m-D-A","http://www.hooktheory.com/theorytab/view/built-by-titan/heart-and-soul"
"435","John Mayer","Dreaming With A Broken Heart","Verse","Gmaj","67","G-A7-C-G-A7-C","http://www.hooktheory.com/theorytab/view/john-mayer/dreaming-with-a-broken-heart"
"436","Selena Gomez","The Heart Wants What It Wants","Verse","Gmin","83","Eb-cm-gm-Bb-Eb-cm-gm-Bb","http://www.hooktheory.com/theorytab/view/selena-gomez/the-heart-wants-what-it-wants"
"437","Selena Gomez","The Heart Wants What It Wants","Pre-Chorus","Gmin","83","Eb-cm-gm-Bb-Eb-cm-gm-Bb","http://www.hooktheory.com/theorytab/view/selena-gomez/the-heart-wants-what-it-wants"
"438","Selena Gomez","The Heart Wants What It Wants","Chorus","Gmin","83","Eb-cm-gm-Bb-Eb-cm-gm-Bb","http://www.hooktheory.com/theorytab/view/selena-gomez/the-heart-wants-what-it-wants"
"439","Kingdom Hearts","Dearly Beloved","Instrumental","Ebmaj","132","Ab-Ab-Bb-Bb-Eb-Eb-Eb-Eb-Ab-Ab-Bb-Bb-cm-cm-cm-cm","http://www.hooktheory.com/theorytab/view/kingdom-hearts/dearly-beloved"
"440","The Head and The Heart","Shake","Intro","Emaj","110","E-E-E-E-E-E-E-E-E-E-E-E-E-E-E-E-E-B-E-E","http://www.hooktheory.com/theorytab/view/the-head-and-the-heart/shake"
"441","The Head and The Heart","Shake","Chorus","Emaj","114","E-A-A-E-E-A-A-E-B-E-B-E-A-E-E","http://www.hooktheory.com/theorytab/view/the-head-and-the-heart/shake"
"442","Heart","What About Love","Verse","Dmin","70","dm-Bb-F-C-dm-Bb-F-C-dm-Bb-F-C-Bb-F-C","http://www.hooktheory.com/theorytab/view/heart/what-about-love"
"443","The White Stripes","I Want to Be the Boy to Warm Your Mother's Heart","Verse","Dmix","76","D-C-G-D-C-G-D-C-G-D-C-G","http://www.hooktheory.com/theorytab/view/the-white-stripes/i-want-to-be-the-boy-to-warm-your-mothers-heart"
"444","The White Stripes","I Want to Be the Boy to Warm Your Mother's Heart","Chorus","Dmix","78","F-G-D-F-G-A","http://www.hooktheory.com/theorytab/view/the-white-stripes/i-want-to-be-the-boy-to-warm-your-mothers-heart"
"445","Oasis","Stop Crying Your Heart Out","Verse","Dmaj","84","bm-bm-bm-bm-E7-E7-G-G","http://www.hooktheory.com/theorytab/view/oasis/stop-crying-your-heart-out"
"446","Oasis","Stop Crying Your Heart Out","Chorus","Dmaj","80","D-A-em-G-D","http://www.hooktheory.com/theorytab/view/oasis/stop-crying-your-heart-out"
"447","Twenty One Pilots","Tear In My Heart","Verse","Dmaj","122","D-F#-G-G-D-F#-G-G-A7-A","http://www.hooktheory.com/theorytab/view/twenty-one-pilots/tear-in-my-heart"
"448","Twenty One Pilots","Tear In My Heart","Chorus","Dmaj","119","G(add9)-A-bm-A-D-A","http://www.hooktheory.com/theorytab/view/twenty-one-pilots/tear-in-my-heart"
"449","Twenty One Pilots","Tear In My Heart","Bridge","Dmaj","162","D-D-D-D-D-D-D-D-D-D-D-D-Gmaj7sus2-D-D-D-D-D-D-D-D-Gmaj7sus2-D-D-D-D-D-D-D-D-Gmaj7sus2-D-D-D-D-D-D-D-D-Gmaj7sus2-D-D-D-D-D-D-D-D-Gmaj7sus2-D-D-D-D-D-D-D-D-Gmaj7sus2-D-D-D-D-D-D-D-D-Gmaj7sus2-D-D-D-D-D-D-D-D-Gmaj7sus2-D-D-D-D-D-D-D-D-Gmaj7sus2-D-D-D-D-D","http://www.hooktheory.com/theorytab/view/twenty-one-pilots/tear-in-my-heart"
"450","Green Day","Stray Heart","Verse","Emaj","100","E-G#-c#m-A-E-A-B","http://www.hooktheory.com/theorytab/view/green-day/stray-heart"
"451","Green Day","Stray Heart","Pre-Chorus","Emaj","104","G#-c#m-A-B-E-G#-c#m-A-am","http://www.hooktheory.com/theorytab/view/green-day/stray-heart"
"452","Hoagy Carmichael","Heart And Soul","Verse","Cmaj","205","C-C-am-C6-dm-dm-G-G-C-C-am-C6-dm-dm-G-G-C-C-am-C6-dm-dm-G-G-C-C-am-C6-dm-dm-G-G","http://www.hooktheory.com/theorytab/view/hoagy-carmichael/heart-and-soul"
"453","Kelly Clarkson","Heartbeat Song","Chorus","F#maj","74","F#-C#-d#m-B","http://www.hooktheory.com/theorytab/view/kelly-clarkson/heartbeat-song"
"454","Of Monsters and Men","King and Lionheart","Chorus","Ebmaj","118","A-bmaj7-Eb-Bb-A-bmaj7-Eb-Bb-A-bmaj7-Eb-Bb-cm","http://www.hooktheory.com/theorytab/view/of-monsters-and-men/king-and-lionheart"
"455","GRL","Ugly Heart","Verse","Amaj","125","A-D-f#m-E-A-D-f#m-E","http://www.hooktheory.com/theorytab/view/grl/ugly-heart"
"456","GRL","Ugly Heart","Pre-Chorus","Amaj","125","f#m-D-A-f#m-D-A-f#m-D-A-f#m-E","http://www.hooktheory.com/theorytab/view/grl/ugly-heart"
"457","GRL","Ugly Heart","Chorus","Amaj","125","A-D-f#m-A-D-f#m-A-D-f#m-A-Esus4-E","http://www.hooktheory.com/theorytab/view/grl/ugly-heart"
"458","One Direction","Heart Attack ","Intro","Emaj","100","E-f#m-f#m-c#m","http://www.hooktheory.com/theorytab/view/one-direction/heart-attack-"
"459","One Direction","Heart Attack ","Verse","Emaj","100","E-f#m-E-f#m-E-f#m-E-E-f#m-E-f#m-E-f#m-E","http://www.hooktheory.com/theorytab/view/one-direction/heart-attack-"
"460","One Direction","Heart Attack ","Pre-Chorus","Emaj","101","A-E-B-c#m-A-E-B-c#m","http://www.hooktheory.com/theorytab/view/one-direction/heart-attack-"
"461","One Direction","Heart Attack ","Chorus","Emaj","101","E-B-B-c#m-Amaj7-Amaj7-E-B-B-c#m-Amaj7-Amaj7-E-B-B-c#m-Amaj7-Amaj7-E-B-B-c#m-Amaj7-Amaj7","http://www.hooktheory.com/theorytab/view/one-direction/heart-attack-"
"462","Taylor Dayne","Tell It To My Heart","Verse","Fmin","128","fm-E-b(add9)-Eb-fm-D-bmaj7-E-b(add9)-cm7-fm","http://www.hooktheory.com/theorytab/view/taylor-dayne/tell-it-to-my-heart"
"463","Taylor Dayne","Tell It To My Heart","Pre-Chorus","Fmin","118","D-bmaj7-Ab-cm7-b-bm7-Db-bbm-Csus4-C-Db-Eb-cm7-fm-Eb-Db-Eb-cm7-fm","http://www.hooktheory.com/theorytab/view/taylor-dayne/tell-it-to-my-heart"
"464","Shoji Meguro","Persona 4 - Heartbeat Heartbreak","Verse","Cmin","100","fm7-gm7-cm-11-cm-cm-fm7-gm7-gm7-cm-11-cm-fm7-gm7-gm7-C-C-fm7-gm7-gm7-cm","http://www.hooktheory.com/theorytab/view/shoji-meguro/persona-4---heartbeat-heartbreak"
"465","Shoji Meguro","Persona 4 - Heartbeat Heartbreak","Chorus","Cmin","100","A-bmaj7-A-bmaj7-fsus2sus4-fsus2sus4-gm-gm-gm-c7sus2-cm7-A-bmaj7-A-bmaj7-fsus2sus4-fsus2sus4-gm-gm-gm-c7sus2-cm7","http://www.hooktheory.com/theorytab/view/shoji-meguro/persona-4---heartbeat-heartbreak"
"466","Klaas","Heartbeat","Intro","Abmaj","128","fm-Db-Ab-Eb-fm-D-b(add9)-b-bm-Eb-fm-Db-Ab-Eb-fm-D-b(add9)-b-bm-Eb","http://www.hooktheory.com/theorytab/view/klaas/heartbeat"
"467","JJAMZ","Heartbeat","Verse","Dmaj","100","D-bm-D-bm-A-G-A-G","http://www.hooktheory.com/theorytab/view/jjamz/heartbeat"
"468","JJAMZ","Heartbeat","Chorus","Dmaj","100","D-bm-A-G-D-bm-A-G","http://www.hooktheory.com/theorytab/view/jjamz/heartbeat"
"469","ZUN","Heartfelt Fancy","Pre-Chorus","F#min","160","D-d#m-d#m-d#m-d#m-D-E-D-d#m-D-F#-F#-G#-E#-E#","http://www.hooktheory.com/theorytab/view/zun/heartfelt-fancy"
"470","ZUN","Heartfelt Fancy","Chorus","Bbmin","160","b-bsus4-b-bm-Db-Ab-cm-Gb-Fbbsus4-b-bm-Db-Ab-cm-Gb-Fbbsus4-b-bm-b-bsus2-b-bm","http://www.hooktheory.com/theorytab/view/zun/heartfelt-fancy"
"471","The Knife","Heartbeats","Intro","Ebmaj","88","Eb-cm-Eb-cm","http://www.hooktheory.com/theorytab/view/the-knife/heartbeats"
"472","Florence and the Machine","Rabbit Heart","Pre-Chorus","Amin","116","am-C-C(add9)-G-dm7-F6-am7-G-dm7-F6-am7-G","http://www.hooktheory.com/theorytab/view/florence-and-the-machine/rabbit-heart"
"473","Neon Indian","Heart Decay","Instrumental","Cmaj","112","am-G-Bb-F-am-G-Bb-F","http://www.hooktheory.com/theorytab/view/neon-indian/heart-decay"
"474","The Blue Hearts","Linda Linda","Verse","Dmaj","188","D-D-bm-bm-D-D-G-A-D-D-bm-bm-G-A-G-f#m-em-D","http://www.hooktheory.com/theorytab/view/the-blue-hearts/linda-linda"
"475","The Blue Hearts","Linda Linda","Chorus","Dmaj","173","D-D-G-A-D-D-G-A-D-bm-G-A-D-bm-G-A","http://www.hooktheory.com/theorytab/view/the-blue-hearts/linda-linda"
