"artist","song","song_parts","key","bpm","chords","link","roman","roman_features","song_join_code","artist_name","album_name","album_release_date","year","phase"
"The Beatles","Oh Darling","Chorus","Amaj",174,"D-F-A-B-E-F-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/oh-darling","IV-bVI/(min)-I-V/V-V-bVI/(min)-V-V","IV-bVI/(min)-I-V/V-V-bVI/(min)-V-V","oh darling","The Beatles","Abbey Road","1969-09-26",1969,"Late"
"The Beatles","Eleanor Rigby","Verse","Edor",136,"em-em-em-C-C-em","http://www.hooktheory.com/theorytab/view/the-beatles/eleanor-rigby","i-i-i-bVI/(min)-bVI/(min)-i","i-i-i-bVI/(min)-bVI/(min)-i","eleanor rigby","The Beatles","Revolver","1966-08-05",1966,"Late"
"The Beatles","Eleanor Rigby","Chorus","Emin",137,"em7-em6-C-em-em7-em6-C-em","http://www.hooktheory.com/theorytab/view/the-beatles/eleanor-rigby","i-i-VI-i-i-i-VI-i","i7-i6-VI-i-i7-i6-VI-i","eleanor rigby","The Beatles","Revolver","1966-08-05",1966,"Late"
"The Beatles","Come Together","Intro","Dmin",84,"dm7-dm7-A7-G7","http://www.hooktheory.com/theorytab/view/the-beatles/come-together","i-i-V/(maj)-vii/V","i7-i7-V7/(maj)-vii7/V","come together","The Beatles","Abbey Road","1969-09-26",1969,"Late"
"The Beatles","Come Together","Chorus","Dmaj",84,"bm-bm-bm-bm-bm-bm-A-A-G-G-G-G-A","http://www.hooktheory.com/theorytab/view/the-beatles/come-together","vi-vi-vi-vi-vi-vi-V-V-IV-IV-IV-IV-V","vi-vi-vi-vi-vi-vi-V-V-IV-IV-IV-IV-V","come together","The Beatles","Abbey Road","1969-09-26",1969,"Late"
"The Beatles","Come Together","Solo","Dmin",82,"dm-am-dm","http://www.hooktheory.com/theorytab/view/the-beatles/come-together","i-v-i","i-v-i","come together","The Beatles","Abbey Road","1969-09-26",1969,"Late"
"The Beatles","I Am the Walrus","Intro","Emaj",84,"B-B-f#m-G-F-E-E7-D-D-A-A7-C-D-E(add9)-A-A7-C-D-A-A-A7-f#m7(b5)-F-G-A-A7-F-B7-C-D-E","http://www.hooktheory.com/theorytab/view/the-beatles/i-am-the-walrus","V-V-ii-bIII/(min)-bII/(loc)-I-V/IV-IV/IV-IV/IV-IV-IV/(dor)-bVI/(min)-IV/IV-I-IV-IV/(dor)-bVI/(min)-IV/IV-IV-IV-IV/(dor)-ii/(min)-bII/(loc)-bIII/(min)-IV-IV/(dor)-bII/(loc)-V-bVI/(min)-IV/IV-I","V-V-ii-bIII/(min)-bII/(loc)-I-V7/IV-IV/IV-IV/IV-IV-IV7/(dor)-bVI/(min)-IV/IV-I(add9)-IV-IV7/(dor)-bVI/(min)-IV/IV-IV-IV-IV7/(dor)-ii7(b5)/(min)-bII/(loc)-bIII/(min)-IV-IV7/(dor)-bII/(loc)-V7-bVI/(min)-IV/IV-I","i am the walrus","The Beatles","Magical Mystery Tour","1967-11-27",1967,"Late"
"The Beatles","I Want To Hold Your Hand","Intro","Gmaj",132,"C-D-C-D-C-D-D7-G","http://www.hooktheory.com/theorytab/view/the-beatles/i-want-to-hold-your-hand","IV-V-IV-V-IV-V-V-I","IV-V-IV-V-IV-V-V7-I","i want to hold your hand","The Beatles","Meet the Beatles","1964-01-20",1964,"Early"
"The Beatles","I Want To Hold Your Hand","Verse","Gmaj",128,"G-D-em-B-G-D-em-B","http://www.hooktheory.com/theorytab/view/the-beatles/i-want-to-hold-your-hand","I-V-vi-V/vi-I-V-vi-V/vi","I-V-vi-V/vi-I-V-vi-V/vi","i want to hold your hand","The Beatles","Meet the Beatles","1964-01-20",1964,"Early"
"The Beatles","I Want To Hold Your Hand","Chorus","Gmaj",128,"C-D-G-em-C-D-B-B7-C-D-G-G-G-G-G-G-G","http://www.hooktheory.com/theorytab/view/the-beatles/i-want-to-hold-your-hand","IV-V-I-vi-IV-V-V/vi-V/vi-IV-V-I-I-I-I-I-I-I","IV-V-I-vi-IV-V-V/vi-V7/vi-IV-V-I-I-I-I-I-I-I","i want to hold your hand","The Beatles","Meet the Beatles","1964-01-20",1964,"Early"
