"artist","song","song_parts","key","bpm","chords","link"
"The Beatles","Elenor Rigby","Verse","Edor","136","em-em-em-C-C-em","http://www.hooktheory.com/theorytab/view/the-beatles/elenor-rigby"
"The Beatles","Glass Onion","Verse","Cmaj","120","am-F7-am-F7-am-gm7-C7-gm7-C7-F7-D7-F7-D7-F-G","http://www.hooktheory.com/theorytab/view/the-beatles/glass-onion"
"The Beatles","Glass Onion","Bridge","Amin","120","am-dm7-D7-am7","http://www.hooktheory.com/theorytab/view/the-beatles/glass-onion"
"The Beatles","Maxwell's Silver Hammer","Verse","Dmaj","132","D-B7-em-em-A7-A7-D-A7","http://www.hooktheory.com/theorytab/view/the-beatles/maxwells-silver-hammer"
"The Beatles","Two Of Us","Verse","Gmaj","115","G-C-am-G-C-am-G-D-C-G-D-C-G-C-G","http://www.hooktheory.com/theorytab/view/the-beatles/two-of-us"
"The Beatles","Two Of Us","Bridge","Gmin","109","Bb-dm-gm-am-D7","http://www.hooktheory.com/theorytab/view/the-beatles/two-of-us"
"The Beatles","Julia","Verse","Dmaj","66","D-bm7-f#m-D-bm7-f#m-A","http://www.hooktheory.com/theorytab/view/the-beatles/julia"
"The Beatles","It Won't Be Long","Verse","Emaj","136","E-C-E-E-C-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/it-wont-be-long"
"The Beatles","It Won't Be Long","Chorus","Emaj","128","c#m-c#m-E-E-c#m-A-a#o-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/it-wont-be-long"
"The Beatles","Paperback Writer","Intro","Gmaj","128","G-G-G-C-G","http://www.hooktheory.com/theorytab/view/the-beatles/paperback-writer"
"The Beatles","Good Night","Intro","Gmaj","65","G-bm-am7-D7sus4-D7-G-bm-am7-am-bm-am7-C-D7-D7-G-bm-am7-bm-am7-C-D7-D7","http://www.hooktheory.com/theorytab/view/the-beatles/good-night"
"The Beatles","Good Night","Chorus","Gmaj","65","Gmaj7-Csus#4-Gmaj7-Csus#4-G-C-G-C","http://www.hooktheory.com/theorytab/view/the-beatles/good-night"
"The Beatles","Good Night","Bridge","Gmaj","65","G-am-A-dm-G-C-D-C-D","http://www.hooktheory.com/theorytab/view/the-beatles/good-night"
"The Beatles","The End","Solo","Cmaj","128","","http://www.hooktheory.com/theorytab/view/the-beatles/the-end"
"The Beatles","The Night Before","Intro","Dmaj","128","D-D-F-F-G-G-A7-A7","http://www.hooktheory.com/theorytab/view/the-beatles/the-night-before"
"The Beatles","The Continuing Story of Bungalow Bill","Chorus","Amin","112","C-G-C-fm-C-fm-G-A-E-A-dm-A-dm-E","http://www.hooktheory.com/theorytab/view/the-beatles/the-continuing-story-of-bungalow-bill"
"The Beatles","The Ballad of John and Yoko","Verse","Emaj","136","E-E-E-E-E7-E7-E7-E7","http://www.hooktheory.com/theorytab/view/the-beatles/the-ballad-of-john-and-yoko"
"The Beatles","I'm Happy Just To Dance With You","Intro","C#min","127","c#m-f#m-G#7-c#m-f#m-G#7","http://www.hooktheory.com/theorytab/view/the-beatles/im-happy-just-to-dance-with-you"
"The Beatles","I'm Happy Just To Dance With You","Verse","C#min","125","c#m-f#m-G#7-A-B-E-B7","http://www.hooktheory.com/theorytab/view/the-beatles/im-happy-just-to-dance-with-you"
"The Beatles","I've Just Seen A Face","Verse","Amaj","119","A-f#m-D-E-A","http://www.hooktheory.com/theorytab/view/the-beatles/ive-just-seen-a-face"
"The Beatles","I've Just Seen A Face","Chorus","Amaj","119","E7-D-A-D-A","http://www.hooktheory.com/theorytab/view/the-beatles/ive-just-seen-a-face"
"The Beatles","Everybody's Got Something to Hide","Verse","Emix","118","E-E-E-A-D-B-E-D-G-E-G-D","http://www.hooktheory.com/theorytab/view/the-beatles/everybodys-got-something-to-hide"
"The Beatles","Think For Yourself","Verse","Gmaj","128","am-dm-Bb-C-G7-G7-am-dm-Bb-C-G7-am","http://www.hooktheory.com/theorytab/view/the-beatles/think-for-yourself"
"The Beatles","Think For Yourself","Chorus","Gmaj","128","C-C-G7-G7-Eb-D7-G7-G7-Eb-D7-C-G-G-G7-G","http://www.hooktheory.com/theorytab/view/the-beatles/think-for-yourself"
"The Beatles","What You're Doing","Verse","Dmaj","128","D-G-D-G-bm-G-G-D","http://www.hooktheory.com/theorytab/view/the-beatles/what-youre-doing"
"The Beatles","What You're Doing","Bridge","Dmaj","128","G-bm-G-bm-em-em-A-A","http://www.hooktheory.com/theorytab/view/the-beatles/what-youre-doing"
"The Beatles","Sgt Pepper's Lonely Hearts Club Band","Intro","Gmaj","95","A7-C-G","http://www.hooktheory.com/theorytab/view/the-beatles/sgt-peppers-lonely-hearts-club-band"
"The Beatles","Sgt Pepper's Lonely Hearts Club Band","Verse","Gmaj","91","G-A7-C-G-G-A7-C-G-A7-C7-G-G-C-c#o-G-G","http://www.hooktheory.com/theorytab/view/the-beatles/sgt-peppers-lonely-hearts-club-band"
"The Beatles","If I Needed Someone","Intro","Amix","128","A-A","http://www.hooktheory.com/theorytab/view/the-beatles/if-i-needed-someone"
"The Beatles","If I Needed Someone","Verse","Amix","128","A-G-A","http://www.hooktheory.com/theorytab/view/the-beatles/if-i-needed-someone"
"The Beatles","If I Needed Someone","Chorus","Bmin","128","em-F#-D-f#m-bm-em-F#-bm-E","http://www.hooktheory.com/theorytab/view/the-beatles/if-i-needed-someone"
"The Beatles","Please Please Me","Verse","Emaj","140","E-E-A-E-E-G-A-B-E-E-A-E-E-A-f#m-c#m-A-E-A-B7-E-E-B","http://www.hooktheory.com/theorytab/view/the-beatles/please-please-me"
"The Beatles","Please Please Me","Bridge","Emaj","140","A-B-E-E-E7-A-B-E-A-B-E-A-B","http://www.hooktheory.com/theorytab/view/the-beatles/please-please-me"
"The Beatles","Hold Me Tight","Verse","Fmaj","136","F-Bb-G-C7-F-Bb-G-C7","http://www.hooktheory.com/theorytab/view/the-beatles/hold-me-tight"
"The Beatles","Hold Me Tight","Chorus","Fmaj","136","F-F7-Bb-bbm-F-bbm-F-C","http://www.hooktheory.com/theorytab/view/the-beatles/hold-me-tight"
"The Beatles","Hold Me Tight","Bridge","Fmaj","136","F-Ab-F-Bb-gm-G-C","http://www.hooktheory.com/theorytab/view/the-beatles/hold-me-tight"
"The Beatles","I'm Only Sleeping","Verse","D#min","103","d#m-g#m-F#-B-F#-A#7-d#m-g#m-F#-B-F#-B-B-F#-g#m-a#m-g#m-B-d#m-A#7","http://www.hooktheory.com/theorytab/view/the-beatles/im-only-sleeping"
"The Beatles","I'm Only Sleeping","Bridge","D#min","103","c#m-D#-g#m-c#m-D#-g#m-F#-B-F#-A#7","http://www.hooktheory.com/theorytab/view/the-beatles/im-only-sleeping"
"The Beatles","Wait","Verse","F#min","130","f#m7-B-bm-f#m-C#7-f#m-f#m7-B-bm-f#m-C#7-f#m","http://www.hooktheory.com/theorytab/view/the-beatles/wait"
"The Beatles","Wait","Chorus","Amaj","130","A-Dmaj7-Dmaj9-A-Dmaj7-Dmaj9-A-Dmaj7-Dmaj9-A-C#7-f#m","http://www.hooktheory.com/theorytab/view/the-beatles/wait"
"The Beatles","Wait","Bridge","Amaj","130","bm-E-A-f#m-bm-E-A-C#7","http://www.hooktheory.com/theorytab/view/the-beatles/wait"
"The Beatles","Love Me Do","Intro","Gmix","128","G-C-G-C-G-C-G","http://www.hooktheory.com/theorytab/view/the-beatles/love-me-do"
"The Beatles","Drive My Car","Verse","Cmaj","128","","http://www.hooktheory.com/theorytab/view/the-beatles/drive-my-car"
"The Beatles","Being For The Benefit Of Mr. Kite","Intro","Cmin","109","Bb-A-dm-G","http://www.hooktheory.com/theorytab/view/the-beatles/being-for-the-benefit-of-mr-kite"
"The Beatles","Because","Intro","C#min","81","c#m-c#m-d#m7(b5)-G#7-A-c#m-A7-A(add9)-D-cxo","http://www.hooktheory.com/theorytab/view/the-beatles/because"
"The Beatles","Because","Verse","C#min","80","cxo-c#m-c#m-d#m7(b5)-G#7-A-c#m-A7-A(add9-)","http://www.hooktheory.com/theorytab/view/the-beatles/because"
"The Beatles","Because","Chorus","C#min","80","cxo-F#-F#-G#7-G#7","http://www.hooktheory.com/theorytab/view/the-beatles/because"
"The Beatles","Taxman","Verse","Dmix","133","D-D7-D7-D-D7-D7-C-D","http://www.hooktheory.com/theorytab/view/the-beatles/taxman"
"Beatles","Real Love","Verse","Ebmaj","99","Eb-gm-cm-do-Ab-fm-Bb-Eb-Ab-Eb-Ab-Eb-gm-cm-do-Ab-fm-Bb-Eb-Ab-Eb-Ab","http://www.hooktheory.com/theorytab/view/beatles/real-love"
"Beatles","Real Love","Pre-Chorus","Ebmaj","99","Eb-gm-cm-do-Ab-fm-Eb-Ab-Eb-Ab-Eb-abm-Eb-abm-Eb-cm-Ab-Bb-Eb-cm-Ab-Bb","http://www.hooktheory.com/theorytab/view/beatles/real-love"
"The Beatles","You Can't Do That","Intro","Gmaj","130","G-G","http://www.hooktheory.com/theorytab/view/the-beatles/you-cant-do-that"
"The Beatles","You Can't Do That","Verse","Gmaj","130","G-C-G-G-D-D-G","http://www.hooktheory.com/theorytab/view/the-beatles/you-cant-do-that"
"The Beatles","When I'm Sixty-Four","Verse","Dbmaj","138","Db-Ab-Ab-Db-Db-Db7-Gb-Gb-gbm-Db-Bb-Eb-Ab-Db","http://www.hooktheory.com/theorytab/view/the-beatles/when-im-sixty-four"
"The Beatles","When I'm Sixty-Four","Bridge","Dbmaj","138","bbm-Ab-bbm-bbm-F-bbm-ebm-Gb-Ab-Db-Ab-Ab7","http://www.hooktheory.com/theorytab/view/the-beatles/when-im-sixty-four"
"The Beatles","Ticket to Ride","Verse","Amaj","120","A(add9)-A(add9)-A(add9)-bm-E","http://www.hooktheory.com/theorytab/view/the-beatles/ticket-to-ride"
