"artist","song","song_parts","key","bpm","chords","link","roman"
"The Beatles","You Never Give Me Your Money","Solo","Cmaj",88,"C-D7-E-bmaj7-G7-C7-A7-Eb7-C7-F#7-Eb7-A7-F#maj7-G7-Ab7","http://www.hooktheory.com/theorytab/view/the-beatles/you-never-give-me-your-money","I-V/V-V/vi-vii-V-V/IV-NA-V/vi-V/IV-NA-V/vi-NA-NA-V-NA"
"The Beatles","You Never Give Me Your Money","Outro","Amaj",88,"C-G-A-C-G-A-C-G-A-C-G-A-C-G-A-C-G-A","http://www.hooktheory.com/theorytab/view/the-beatles/you-never-give-me-your-money","bIII(min)-IV/IV-I-bIII(min)-IV/IV-I-bIII(min)-IV/IV-I-bIII(min)-IV/IV-I-bIII(min)-IV/IV-I-bIII(min)-IV/IV-I"
"The Beatles","Octopus's Garden","Intro","Emaj",185,"B-E-E-B-d#m(b5)-B-E-E-c#m-c#m-A-A-B-d#m(b5)-B-B-E-E-E-E-c#m-c#m-c#m-c#m-A-A-A-A-B-B-d#m(b5)-B-B","http://www.hooktheory.com/theorytab/view/the-beatles/octopuss-garden","V-I-I-V-NA-V-I-I-vi-vi-IV-IV-V-NA-V-V-I-I-I-I-vi-vi-vi-vi-IV-IV-IV-IV-V-V-NA-V-V"
"The Beatles","Octopus's Garden","Verse","Emaj",91,"E-E-E-E-c#m-c#m-c#m-c#m-A-A-A-A-A-B-B-B-B","http://www.hooktheory.com/theorytab/view/the-beatles/octopuss-garden","I-I-I-I-vi-vi-vi-vi-IV-IV-IV-IV-IV-V-V-V-V"
"The Beatles","Octopus's Garden","Pre-Chorus","Emaj",92,"c#m-c#m-c#m-B-A-B-B-B-B-B-E-E-E-E-c#m-c#m-c#m-c#m-A-A-B-B-E-E-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/octopuss-garden","vi-vi-vi-V-IV-V-V-V-V-V-I-I-I-I-vi-vi-vi-vi-IV-IV-V-V-I-I-I-I"
"The Beatles","Eight Days a Week","Verse","Dmaj",138,"D-E7-G-D-D-E7-G-D-bm-G6-bm-E7-D-E7-G-D","http://www.hooktheory.com/theorytab/view/the-beatles/eight-days-a-week","I-V/V-IV-I-I-V/V-IV-I-vi-IV-vi-V/V-I-V/V-IV-I"
"The Beatles","Back In The USSR","Intro","Amaj",143,"E-E7-E7","http://www.hooktheory.com/theorytab/view/the-beatles/back-in-the-ussr","V-V-V"
"The Beatles","Back In The USSR","Verse","Amaj",143,"A-D-C-D-A-D-C-D","http://www.hooktheory.com/theorytab/view/the-beatles/back-in-the-ussr","I-IV-bIII(min)-IV-I-IV-bIII(min)-IV"
"The Beatles","Back In The USSR","Chorus","Amaj",143,"A-C-D-D-A-A-D-d#o-E","http://www.hooktheory.com/theorytab/view/the-beatles/back-in-the-ussr","I-bIII(min)-IV-IV-I-I-IV-vii/V-V"
"The Beatles","Back In The USSR","Bridge","Amaj",143,"D-A-D-D-D7-B-E-D-A-A-D-d#o-E","http://www.hooktheory.com/theorytab/view/the-beatles/back-in-the-ussr","IV-I-IV-IV-NA-V/V-V-IV-I-I-IV-vii/V-V"
