"","artist","song","song_parts","chords","link"
"51","The Beatles","Ticket to Ride","Verse","E-B-f#m-f#m-B7-E-E-B-f#m-f#m-B7-E-D-A-E-D-A-E-A-E-B","http://www.hooktheory.com/theorytab/view/the-beatles/with-a-little-help-from-my-friends"
"52","The Beatles","Ticket to Ride","Bridge","c#m7-F#-E-D-A-c#m7-F#-E-D-A","http://www.hooktheory.com/theorytab/view/the-beatles/with-a-little-help-from-my-friends"
"53","The Beatles","With A Little Help From My Friends","Verse","B-B-g#m-B-E-A-B","http://www.hooktheory.com/theorytab/view/the-beatles/for-no-one"
"54","The Beatles","With A Little Help From My Friends","Bridge","c#m-G#7-c#m-c#m-G#7-c#m-c#m-F#sus4-F#","http://www.hooktheory.com/theorytab/view/the-beatles/for-no-one"
"55","The Beatles","For No One","Verse","F-Eb-G7-C-Cmaj7-C7-F-C-D7-G-am7-G-am-E-am-D(add9)-F-Eb-G","http://www.hooktheory.com/theorytab/view/the-beatles/something"
"56","The Beatles","For No One","Solo","C-Cmaj7-C7-F-C-D7-G-G-am-E-am-f#o-F-Eb-G","http://www.hooktheory.com/theorytab/view/the-beatles/something"
"57","The Beatles","Something","Intro","G-D7-G-D7-G-G-D7-G-D7-G","http://www.hooktheory.com/theorytab/view/the-beatles/all-together-now"
"58","The Beatles","Something","Pre-Chorus","C-G-C-D-D7","http://www.hooktheory.com/theorytab/view/the-beatles/all-together-now"
"59","The Beatles","Something","Chorus","G-G-D7-G-G-G-D7-G","http://www.hooktheory.com/theorytab/view/the-beatles/all-together-now"
"60","The Beatles","All Together Now","Intro","am7-dm7-G7-C-Fmaj7-bm7(b5)-E7-am","http://www.hooktheory.com/theorytab/view/the-beatles/you-never-give-me-your-money"
"61","The Beatles","All Together Now","Verse","C-E7-am-C7-F-G7-C","http://www.hooktheory.com/theorytab/view/the-beatles/you-never-give-me-your-money"
"62","The Beatles","All Together Now","Chorus","Bb-F-C-Bb-F-C-Bb-F-C-Bb-F-C-Bb-F","http://www.hooktheory.com/theorytab/view/the-beatles/you-never-give-me-your-money"
"63","The Beatles","All Together Now","Bridge","A-B-C-E-A-dm-G-asus4-G-A-B-C","http://www.hooktheory.com/theorytab/view/the-beatles/you-never-give-me-your-money"
