"","artist","song","song_parts","chords","link"
"82","Taylor Swift","Should've Said No","Chorus","fm9-cm(add9)-A-b(add9)-A-b(add9)-A-b(add9)-A-b(add9)-A-b(add9)-A-b(add9)-A-b(add9)-B-b(add9)-B-b(add9)-B-b(add9)-B-b(add9)-B-b(add9)-fm9-cm(add9)-A-b(add9)-A-b(add9)-A-b(add9)-A-b(add9)-A-b(add9)-A-b(add9)-A-b(add9)-B-b(add9)-B-b(add9)-B-b(add9)-B-b(add9)-B-b(add9","http://www.hooktheory.com/theorytab/view/taylor-swift/dancing-with-our-hands-tied"
"83","Taylor Swift","Should've Said No","Bridge","fm9-cm(add9)-A-b(add9)-B-b(add9)-fm9","http://www.hooktheory.com/theorytab/view/taylor-swift/dancing-with-our-hands-tied"
"84","Taylor Swift","So It Goes","Verse","Bb-gm7-Eb-F","http://www.hooktheory.com/theorytab/view/taylor-swift/last-kiss"
"85","Taylor Swift","So It Goes","Pre-Chorus","Eb-Bb-Eb-F","http://www.hooktheory.com/theorytab/view/taylor-swift/last-kiss"
"86","Taylor Swift","So It Goes","Chorus","Bb-gm-Eb-F-F6","http://www.hooktheory.com/theorytab/view/taylor-swift/last-kiss"
"87","Taylor Swift","So It Goes","Bridge","Bb-gm-Eb-F-Bb-gm-Eb-F-Bb-gm-Eb-F-Eb-F","http://www.hooktheory.com/theorytab/view/taylor-swift/last-kiss"
"88","Taylor Swift","Ready For It","Chorus","D-A-E-D-f#m7-D-A-E-D-f#m7","http://www.hooktheory.com/theorytab/view/taylor-swift/call-it-what-you-want-to"
"89","Taylor Swift","Our Song","Verse","F-C-G-am-F-C-G-g#o-am","http://www.hooktheory.com/theorytab/view/taylor-swift/i-dont-wanna-live-forever"
"90","Taylor Swift","Delicate","Intro","Ab-cm-Db-Ab","http://www.hooktheory.com/theorytab/view/taylor-swift/enchanted"
"91","Taylor Swift","Delicate","Verse","Ab-cm-Db-Ab-cm-Db-Ab-Db-fm-Eb-E-bsus4-Eb","http://www.hooktheory.com/theorytab/view/taylor-swift/enchanted"
"92","Taylor Swift","Delicate","Chorus","Db-Ab-Eb-Db-Ab-Eb-Db-Ab-Eb-Db-fm-Eb-Ab","http://www.hooktheory.com/theorytab/view/taylor-swift/enchanted"
"93","Taylor Swift","Delicate","Bridge","Eb-Db-fm-Eb-Db-fm-Eb-Db-fm-Eb-Db-fm-Eb-Ab-cm-Db-Ab-cm-Db-Ab","http://www.hooktheory.com/theorytab/view/taylor-swift/enchanted"
"94","Taylor Swift","Clean","Verse","E-Asus2-E-c#m7-Asus2","http://www.hooktheory.com/theorytab/view/taylor-swift/holy-ground"
"95","Taylor Swift","Clean","Chorus","Asus2-B-c#m-A-B-c#m-A-B-c#m-A-E","http://www.hooktheory.com/theorytab/view/taylor-swift/holy-ground"
"96","Taylor Swift","Clean","Bridge","E-Asus2-E-Asus2","http://www.hooktheory.com/theorytab/view/taylor-swift/holy-ground"
"97","Taylor Swift","Gorgeous","Verse","C-Fsus2-am7-Fsus2-C-Fsus2-am7-Fsus2-am7-Fsus2-Gsus4-G","http://www.hooktheory.com/theorytab/view/taylor-swift/white-horse"
"98","Taylor Swift","Gorgeous","Chorus","C-am7-Fsus2-Gsus4-C-am7-Fsus2-G-am7-G-F","http://www.hooktheory.com/theorytab/view/taylor-swift/white-horse"
"99","Taylor Swift","Gorgeous","Bridge","am7-G-F-C-G-F-C-G-F-Bb","http://www.hooktheory.com/theorytab/view/taylor-swift/white-horse"
"100","Taylor Swift","Getaway Car","Verse","Eb-Bb-F-Eb-Bb-F-Eb-Bb-F-Eb-F","http://www.hooktheory.com/theorytab/view/taylor-swift/forever-and-always"
"101","Taylor Swift","Getaway Car","Pre-Chorus","F-Eb-Bb-F-gm-Eb-Bb-F-Eb-Bb-F-gm-Eb-Bb-F","http://www.hooktheory.com/theorytab/view/taylor-swift/forever-and-always"
"102","Taylor Swift","Sparks Fly","Intro","F-C-gm-Bb-C","http://www.hooktheory.com/theorytab/view/taylor-swift/the-way-i-loved-you"
